contaminant_to_wanted_shot_weight_ratio,threshold_fano_for_sql_crossing,R_F_1,dB_F_1,R_F_2,dB_F_2,R_F_4p2565,dB_F_4p2565
0.47000000000000003,2.842553191489362,0.4108843537414967,-3.862803961270442,0.7306122448979593,-1.3631305338463924,1.4520782312925171,1.6199001478240571
0.47250000000000003,2.8328042328042327,0.4118845500848896,-3.8522449825654754,0.7327674023769101,-1.3503385877622853,1.4568395585738543,1.63411725645927
0.47500000000000003,2.823157894736842,0.4128813559322034,-3.8417472768130647,0.7349152542372881,-1.3376273811181372,1.461584745762712,1.6482400173251461
0.47750000000000004,2.813612565445026,0.4138747884940778,-3.831310281809887,0.7370558375634517,-1.3249960979751805,1.4663138747884943,1.6622694404188691
0.48,2.8041666666666667,0.41486486486486485,-3.820933442537897,0.7391891891891891,-1.3124439339754548,1.4710270270270274,1.676206520483132
0.4825,2.7948186528497407,0.4158516020236088,-3.810616211045497,0.7413153456998314,-1.2999700961280962,1.475724283305228,1.6900522373063933
0.485,2.7855670103092782,0.4168350168350169,-3.800358046331131,0.7434343434343436,-1.28757380260051,1.4804057239057242,1.7038075560158352
0.4875,2.7764102564102564,0.4178151260504201,-3.7901584142292366,0.7455462184873949,-1.2752542825142714,1.4850714285714286,1.7174734273632137
0.49,2.7673469387755105,0.41879194630872485,-3.7800167872985,0.7476510067114093,-1.2630107757456401,1.4897214765100673,1.7310507880038306
0.4925,2.7583756345177664,0.4197654941373535,-3.7699326447123784,0.749748743718593,-1.2508425327305663,1.49435594639866,1.7445405607687987
0.495,2.7494949494949497,0.42073578595317723,-3.7599054721517957,0.7518394648829432,-1.2387488142740615,1.49897491638796,1.7579436549308185
0.4975,2.7407035175879395,0.421702838063439,-3.749934761699995,0.753923205342237,-1.2267288913638117,1.503578464106845,1.7712609664636307
